Site,Date,Latest,Last Year,10 Years Ago
niwa-nz,26/04/2020,410.6,407.7,385.4
co2.earth,2020-04-26T12:35:01.483,416.12,,
co2.earth,2020-04-27T12:35:01.89,416.12 ppm,,
niwa-nz,27/04/2020,409.4,407,385.4
co2.earth,2020-04-28T12:35:02.35,415.50 ppm,,
niwa-nz,30/04/2020,409,407.1,385.3
co2.earth,2020-04-30T12:35:02.05,417.31 ppm,,
niwa-nz,1/05/2020,409.2,407,385.1
co2.earth,2020-05-01T12:35:02.327,418.03 ppm,,
niwa-nz,2/05/2020,409.3,408.2,384.5
niwa-nz,3/05/2020,411,408.2,386.3
co2.earth,2020-05-03T12:35:02.047,418.12 ppm,,
niwa-nz,5/05/2020,409.3,407.5,384.7
co2.earth,2020-05-05T12:35:01.927,416.57 ppm,,
niwa-nz,7/05/2020,412.4,408.6,386.8
co2.earth,2020-05-07T12:35:01.803,416.41 ppm,,
co2.earth,2020-05-11T14:10:01.967,417.16 ppm,,
co2.earth,2020-05-12T12:35:01.773,416.71 ppm,,
niwa-nz,4/10/2022,415.4,414,391.5
co2.earth,2022-10-02T12:35:02.493,415.60 ppm,,
niwa-nz,2022-10-05,415.7,414.1,391.5,
co2.earth,2022-10-03T12:35:02.3,415.24 ppm,
niwa-nz,2022-10-12,416.3,413.8,391.6,
co2.earth,2022-10-10T12:35:02.28,415.47 ppm,
niwa-nz,2022-10-19,414.1,412.9,391.4,
co2.earth,2022-10-17T12:30:02.133,415.62 ppm,
niwa-nz,2022-10-26,415.4,410.6,391.8,
co2.earth,2022-10-24T12:35:04.417,416.37 ppm,
niwa-nz,2022-11-03,414.8,412.6,390.9,
co2.earth,2022-11-01T12:35:02.607,416.13 ppm,
niwa-nz,2022-11-09,415.4,414.2,390.6,
niwa-nz,2022-11-16,414.5,413.7,392.0,
co2.earth,2022-11-14T13:35:03.017,417.94 ppm,
niwa-nz,2022-11-24,414.7,412.9,390.8,
co2.earth,2022-11-22T13:35:02.267,418.51 ppm,
niwa-nz,2022-11-30,415.8,413.6,391.1,
co2.earth,2022-11-28T13:35:02.52,417.31 ppm,
niwa-nz,2022-12-06,414.5,414.4,390.9,
niwa-nz,2022-12-14,414.4,412.8,390.9,
niwa-nz,2022-12-21,414.8,413.2,392.9,
keelingcurve.ucsd.edu,28-Nov-2022,416.99
niwa-nz,2023-01-04,415.1,414.2,391.5,
co2.earth,2022-12-30T13:35:02.543,419.10 ppm,
keelingcurve.ucsd.edu,21-Dec-2022,419.25
niwa-nz,2023-01-11,414.6,413.3,391.7,
co2.earth,2023-01-09T13:35:02.867,419.17 ppm,
keelingcurve.ucsd.edu,08-Jan-2023,419.05
niwa-nz,2023-01-18,414.8,412.9,392.9,
co2.earth,2023-01-16T13:35:02.16,419.28 ppm,
keelingcurve.ucsd.edu,13-Jan-2023,420.45
niwa-nz,2023-01-25,414.8,412.4,391.6,
co2.earth,2023-01-23T13:35:02.3,419.71 ppm,
keelingcurve.ucsd.edu,23-Jan-2023,419.89
niwa-nz,2023-02-01,414.8,414.1,391.4,
co2.earth,2023-01-30T13:35:02.377,419.69 ppm,
keelingcurve.ucsd.edu,29-Jan-2023,420.03
niwa-nz,2023-02-08,414.4,412.8,391.9,
co2.earth,2023-02-06T13:35:03.623,419.98 ppm,
keelingcurve.ucsd.edu,06-Feb-2023,419.30
niwa-nz,2023-02-19,415.5,413.7,391.1,
co2.earth,2023-02-17T13:35:02.8,420.00 ppm,
keelingcurve.ucsd.edu,17-Feb-2023,419.71
niwa-nz,2023-02-22,417.6,413.2,392.9,
co2.earth,2023-02-20T13:35:02.76,419.84 ppm,
keelingcurve.ucsd.edu,18-Feb-2023,420.31
niwa-nz,2023-03-01,414.9,412.6,392.6,
co2.earth,2023-02-27T13:35:02.363,421.62 ppm,
keelingcurve.ucsd.edu,26-Feb-2023,421.23
niwa-nz,2023-03-08,414.7,413.3,391.3,
co2.earth,2023-03-06T13:35:02.273,421.36 ppm,
keelingcurve.ucsd.edu,05-Mar-2023,421.33
niwa-nz,2023-03-15,415.7,413.0,392.5,
co2.earth,2023-03-13T12:35:04.373,420.01 ppm,
keelingcurve.ucsd.edu,13-Mar-2023,419.65
niwa-nz,2023-03-22,414.4,413.1,393.2,
keelingcurve.ucsd.edu,19-Mar-2023,420.33
niwa-nz,2023-03-30,414.9,413.5,392.9,
co2.earth,2023-03-28T12:35:02.27,421.40 ppm,
keelingcurve.ucsd.edu,28-Mar-2023,421.21
niwa-nz,2023-04-03,416.2,415.2,392.3,
co2.earth,2023-04-01T12:35:02.157,421.91 ppm,
keelingcurve.ucsd.edu,29-Mar-2023,420.68
niwa-nz,2023-04-06,414.9,415.2,392.3,
co2.earth,2023-04-04T12:35:02.12,422.74 ppm,
keelingcurve.ucsd.edu,03-Apr-2023,421.96
niwa-nz,2023-04-11,414.7,413.3,392.3,
co2.earth,2023-04-09T12:35:02.637,421.70 ppm,
keelingcurve.ucsd.edu,08-Apr-2023,421.80
niwa-nz,2023-04-13,414.2,412.9,392.3,
co2.earth,2023-04-11T12:35:04.387,423.06 ppm,
niwa-nz,2023-04-18,415.2,412.6,392.3,
keelingcurve.ucsd.edu,16-Apr-2023,424.03
niwa-nz,2023-04-20,415.2,413.8,392.3,
co2.earth,2023-04-18T12:35:02.353,424.09 ppm,
niwa-nz,2023-04-24,418.5,412.8,392.2,
co2.earth,2023-04-22T12:55:02.297,423.23 ppm,
keelingcurve.ucsd.edu,19-Apr-2023,422.64
niwa-nz,2023-04-27,415.8,414.1,392.7,
co2.earth,2023-04-25T12:35:02.42,424.78 ppm,
niwa-nz,2023-04-28,416.1,414.1,392.9,
co2.earth,2023-04-26T12:35:02.57,424.34 ppm,
niwa-nz,2023-05-01,416.1,415.3,392.2,
co2.earth,2023-04-29T12:35:02.327,424.47 ppm,
keelingcurve.ucsd.edu,27-Apr-2023,423.92
